DATE,AWND,PRCP,TAVG,TMAX,TMIN
2019-01-01,6.26,0,54,62,41
2019-01-02,4.7,0,52,61,39
2019-01-03,6.26,0,54,66,45
2019-01-04,4.7,0,54,63,44
2019-01-05,7.61,0.56,54,58,48
2019-01-06,6.71,0,53,59,49
2019-01-07,7.83,0.21,54,60,51
2019-01-08,5.14,0,59,71,51
2019-01-09,4.92,0,57,63,48
2019-01-10,5.37,0,57,61,50
2019-01-11,6.71,0,56,65,51
2019-01-12,6.26,0.93,55,61,52
2019-01-13,4.92,0,54,61,46
2019-01-14,8.5,1.08,55,57,51
2019-01-15,8.5,0.69,54,59,50
2019-01-16,8.28,0.67,55,61,54
2019-01-17,11.18,0.57,60,61,58
2019-01-18,5.59,0,59,64,54
2019-01-19,6.04,0,61,76,52
2019-01-20,9.17,0,62,70,54
2019-01-21,16.78,0,59,62,54
2019-01-22,8.28,0,58,65,52
2019-01-23,4.92,0,56,65,45
2019-01-24,4.7,0,59,78,49
2019-01-25,4.47,0,62,75,50
2019-01-26,3.8,0,62,74,50
2019-01-27,4.7,0,63,73,51
2019-01-28,4.92,0,60,70,49
2019-01-29,4.47,0,61,68,55
2019-01-30,4.7,0,59,64,55
2019-01-31,7.38,0.81,58,60,53
2019-02-01,6.49,0.01,55,63,49
2019-02-02,11.41,1.45,57,60,52
2019-02-03,7.83,0.25,56,59,51
2019-02-04,12.3,0.27,56,60,53
2019-02-05,14.32,0.12,54,56,47
2019-02-06,9.4,0,50,55,44
2019-02-07,6.93,0,51,61,42
2019-02-08,6.71,0,53,61,42
2019-02-09,7.38,0.23,52,58,46
2019-02-10,10.51,0.1,52,58,48
2019-02-11,7.83,0,51,59,42
2019-02-12,5.82,0,54,68,44
2019-02-13,10.29,0.09,55,61,51
2019-02-14,13.42,1.68,57,63,53
2019-02-15,9.17,0.13,56,60,50
2019-02-16,13.2,0,53,59,48
2019-02-17,15.43,0.02,53,56,45
2019-02-18,9.17,0,52,59,46
2019-02-19,8.05,0,52,58,42
2019-02-20,12.08,0.01,50,58,42
2019-02-21,7.38,0,51,57,45
2019-02-22,8.28,0,50,60,41
2019-02-23,7.16,0,52,61,41
2019-02-24,6.04,0,54,64,45
2019-02-25,5.37,0,56,65,47
2019-02-26,6.49,0,55,62,48
2019-02-27,5.82,0,57,63,53
2019-02-28,8.05,0.06,58,64,55
2019-03-01,6.04,0,58,62,56
2019-03-02,9.62,0.99,58,62,55
2019-03-03,9.17,0.05,57,59,55
2019-03-04,9.62,0,57,61,54
2019-03-05,7.16,0.06,55,62,48
2019-03-06,8.5,0.98,58,61,55
2019-03-07,10.07,0,57,60,52
2019-03-08,15.88,0,55,59,50
2019-03-09,10.29,0,54,61,47
2019-03-10,6.71,0,53,60,48
2019-03-11,5.37,0,56,67,49
2019-03-12,13.42,0,62,68,53
2019-03-13,11.63,0,59,68,54
2019-03-14,5.14,0,59,70,49
2019-03-15,6.04,0,62,74,48
2019-03-16,5.59,0,67,78,50
2019-03-17,7.38,0,66,81,56
2019-03-18,5.82,0,64,73,55
2019-03-19,5.82,0,59,65,53
2019-03-20,11.18,0,60,66,55
2019-03-21,10.29,0.02,57,62,54
2019-03-22,7.83,0,56,65,48
2019-03-23,8.5,0,59,65,56
2019-03-24,6.71,0,59,66,51
2019-03-25,8.28,0,59,68,51
